job_id,job_title,company,domain,location,experience_required,required_skills,job_description
JOB-0062,Backend Developer,DevTech Innovations,Full Stack & Web Development,"London, UK",Entry Level (0-1 yrs),"React, Node.js, PostgreSQL, TypeScript, CI/CD, Redis, Tailwind CSS, Microservices Architecture, JavaScript","We are seeking a talented Backend Developer to build responsive, robust web applications using React, Node.js, PostgreSQL, TypeScript. You will design REST APIs and craft smooth user interfaces with modern frameworks. Must have strong hands-on proficiency in React, Node.js, PostgreSQL, TypeScript, CI/CD, Redis, Tailwind CSS, Microservices Architecture, JavaScript. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0063,Mobile App Developer,DataSphere Analytics,Mobile Application Development,"Dubai, UAE",Associate (1-2 yrs),"Mobile UI/UX Design, Git, App Store / Play Store Deployment, Flutter, React Native, Firebase, Mobile Architecture, Dart, Offline Storage (SQLite/Hive), Kotlin, Native Modules","Looking for a Mobile App Developer to lead cross-platform app initiatives. You will develop modern interactive UI layouts with Mobile UI/UX Design, Git, App Store / Play Store Deployment, Flutter and manage local caching with Firebase Cloud Messaging. Must have strong hands-on proficiency in Mobile UI/UX Design, Git, App Store / Play Store Deployment, Flutter, React Native, Firebase, Mobile Architecture, Dart, Offline Storage (SQLite/Hive), Kotlin, Native Modules. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0064,NLP Engineer,DataSphere Analytics,AI & Machine Learning,Remote,Associate (1-2 yrs),"TensorFlow, ONNX, Docker, LangChain, REST APIs, CUDA, Mathematics & Linear Algebra, Computer Vision","Join our frontier AI team as an NLP Engineer. You will design, train, and deploy state-of-the-art neural networks using TensorFlow, ONNX, Docker, LangChain to solve complex computer perception and NLP tasks. Must have strong hands-on proficiency in TensorFlow, ONNX, Docker, LangChain, REST APIs, CUDA, Mathematics & Linear Algebra, Computer Vision. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0065,Penetration Tester,Quantum Digital,Cybersecurity & Information Security,"Dubai, UAE",Associate (1-2 yrs),"Vulnerability Assessment, Network Security, Incident Response, Linux, Malware Analysis, Splunk, Python Scripting, SIEM Tools, Ethical Hacking, Cryptography Basics","Join our SecOps team as a Penetration Tester. You will safeguard critical digital assets, investigate security breaches, and write automated detection scripts with Vulnerability Assessment, Network Security, Incident Response, Linux. Must have strong hands-on proficiency in Vulnerability Assessment, Network Security, Incident Response, Linux, Malware Analysis, Splunk, Python Scripting, SIEM Tools, Ethical Hacking, Cryptography Basics. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0066,NLP Engineer,InnoWave Solutions,AI & Machine Learning,Remote,Entry Level (0-1 yrs),"Deep Learning, Transformers, Model Optimization, MLOps, REST APIs, TensorFlow","We are hiring a NLP Engineer to scale our ML infrastructure. Responsibilities include training vision and language models using Deep Learning, Transformers, Model Optimization, MLOps and continuous MLOps pipelines. Must have strong hands-on proficiency in Deep Learning, Transformers, Model Optimization, MLOps, REST APIs, TensorFlow. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0067,LLM Applications Engineer,ByteCraft Technologies,AI & Machine Learning,"London, UK",Associate (1-2 yrs),"Computer Vision, Fine-Tuning, Transformers, Scikit-Learn, TensorFlow, Vector Databases, PyTorch, Deep Learning, Git, MLflow","Join our frontier AI team as an LLM Applications Engineer. You will design, train, and deploy state-of-the-art neural networks using Computer Vision, Fine-Tuning, Transformers, Scikit-Learn to solve complex computer perception and NLP tasks. Must have strong hands-on proficiency in Computer Vision, Fine-Tuning, Transformers, Scikit-Learn, TensorFlow, Vector Databases, PyTorch, Deep Learning, Git, MLflow. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0068,Full Stack Developer,Vanguard Systems,Full Stack & Web Development,"Karachi, PK",Entry Level (0-1 yrs),"JavaScript, Express.js, RESTful APIs, SQL, Next.js, WebSockets, Node.js, Tailwind CSS, React, Git, Redis","Looking for a Full Stack Developer skilled in modern web stacks. You will collaborate with product designers, implement state management using Next.js, and develop backend microservices with JavaScript, Express.js, RESTful APIs, SQL. Must have strong hands-on proficiency in JavaScript, Express.js, RESTful APIs, SQL, Next.js, WebSockets, Node.js, Tailwind CSS, React, Git, Redis. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0069,Backend Developer,Starlight Media Labs,Full Stack & Web Development,"Lahore, PK",Associate (1-2 yrs),"PostgreSQL, HTML5, WebSockets, Microservices Architecture, SQL, Docker, MongoDB, React, JavaScript, TypeScript","We are seeking a talented Backend Developer to build responsive, robust web applications using PostgreSQL, HTML5, WebSockets, Microservices Architecture. You will design REST APIs and craft smooth user interfaces with modern frameworks. Must have strong hands-on proficiency in PostgreSQL, HTML5, WebSockets, Microservices Architecture, SQL, Docker, MongoDB, React, JavaScript, TypeScript. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0070,Software Engineer,Pulse Software Studio,Full Stack & Web Development,"London, UK",Mid Level (2-3 yrs),"TypeScript, MongoDB, CSS3, Jest, Next.js, PostgreSQL, Git, Express.js","We are seeking a talented Software Engineer to build responsive, robust web applications using TypeScript, MongoDB, CSS3, Jest. You will design REST APIs and craft smooth user interfaces with modern frameworks. Must have strong hands-on proficiency in TypeScript, MongoDB, CSS3, Jest, Next.js, PostgreSQL, Git, Express.js. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0071,Machine Learning Engineer,DataSphere Analytics,AI & Machine Learning,"Karachi, PK",Entry Level (0-1 yrs),"Mathematics & Linear Algebra, Computer Vision, REST APIs, TensorFlow, Model Optimization, Fine-Tuning, MLflow","Join our frontier AI team as an Machine Learning Engineer. You will design, train, and deploy state-of-the-art neural networks using Mathematics & Linear Algebra, Computer Vision, REST APIs, TensorFlow to solve complex computer perception and NLP tasks. Must have strong hands-on proficiency in Mathematics & Linear Algebra, Computer Vision, REST APIs, TensorFlow, Model Optimization, Fine-Tuning, MLflow. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0072,Web Applications Engineer,Krypton Security,Full Stack & Web Development,"Lahore, PK",Entry Level (0-1 yrs),"PostgreSQL, Node.js, Express.js, CSS3, CI/CD, Jest, Git, Redis, Redux, RESTful APIs","Join our agile development team as a Web Applications Engineer. You will write clean modular code using PostgreSQL, Node.js, Express.js, CSS3, write automated tests, and deploy scalable web apps. Must have strong hands-on proficiency in PostgreSQL, Node.js, Express.js, CSS3, CI/CD, Jest, Git, Redis, Redux, RESTful APIs. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0073,Software Engineer,Starlight Media Labs,Full Stack & Web Development,"Dubai, UAE",Entry Level (0-1 yrs),"WebSockets, Tailwind CSS, Microservices Architecture, Express.js, RESTful APIs, React, TypeScript","We are seeking a talented Software Engineer to build responsive, robust web applications using WebSockets, Tailwind CSS, Microservices Architecture, Express.js. You will design REST APIs and craft smooth user interfaces with modern frameworks. Must have strong hands-on proficiency in WebSockets, Tailwind CSS, Microservices Architecture, Express.js, RESTful APIs, React, TypeScript. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0074,SOC Analyst,Synergy Global,Cybersecurity & Information Security,Remote,Associate (1-2 yrs),"Python Scripting, Network Security, Splunk, Linux, SIEM Tools, TCP/IP & Firewalls, Burp Suite, Ethical Hacking","We are hiring a vigilant SOC Analyst to monitor security operations, analyze intrusion alerts using Python Scripting, Network Security, Splunk, Linux, and perform vulnerability scans across enterprise systems. Must have strong hands-on proficiency in Python Scripting, Network Security, Splunk, Linux, SIEM Tools, TCP/IP & Firewalls, Burp Suite, Ethical Hacking. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0075,Frontend Developer,Orbital HealthTech,Full Stack & Web Development,"Karachi, PK",Entry Level (0-1 yrs),"Node.js, JavaScript, PostgreSQL, Git, TypeScript, MongoDB, Express.js, CI/CD","Join our agile development team as a Frontend Developer. You will write clean modular code using Node.js, JavaScript, PostgreSQL, Git, write automated tests, and deploy scalable web apps. Must have strong hands-on proficiency in Node.js, JavaScript, PostgreSQL, Git, TypeScript, MongoDB, Express.js, CI/CD. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0076,React / Node.js Developer,DevTech Innovations,Full Stack & Web Development,"Islamabad, PK",Mid Level (2-3 yrs),"MongoDB, Redux, WebSockets, HTML5, TypeScript, Git, GraphQL, React, Next.js","Looking for a React / Node.js Developer skilled in modern web stacks. You will collaborate with product designers, implement state management using Redux Toolkit, and develop backend microservices with MongoDB, Redux, WebSockets, HTML5. Must have strong hands-on proficiency in MongoDB, Redux, WebSockets, HTML5, TypeScript, Git, GraphQL, React, Next.js. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0077,Frontend Developer,Krypton Security,Full Stack & Web Development,"Dubai, UAE",Mid Level (2-3 yrs),"HTML5, Redis, React, Jest, JavaScript, Git, Tailwind CSS","We are seeking a talented Frontend Developer to build responsive, robust web applications using HTML5, Redis, React, Jest. You will design REST APIs and craft smooth user interfaces with modern frameworks. Must have strong hands-on proficiency in HTML5, Redis, React, Jest, JavaScript, Git, Tailwind CSS. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0078,Machine Learning Engineer,InnoWave Solutions,AI & Machine Learning,Remote,Entry Level (0-1 yrs),"Scikit-Learn, Computer Vision, LangChain, Natural Language Processing, REST APIs, Vector Databases, Fine-Tuning, NumPy, Python","Seeking an innovative Machine Learning Engineer to build Generative AI and deep learning workflows. Must have experience with Scikit-Learn, Computer Vision, LangChain, Natural Language Processing and deploying models via Triton Inference Server. Must have strong hands-on proficiency in Scikit-Learn, Computer Vision, LangChain, Natural Language Processing, REST APIs, Vector Databases, Fine-Tuning, NumPy, Python. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0079,Android Developer (Kotlin),Starlight Media Labs,Mobile Application Development,"Islamabad, PK",Associate (1-2 yrs),"App Store / Play Store Deployment, REST APIs, Git, Kotlin, GraphQL, Firebase, Push Notifications, Flutter, Mobile UI/UX Design","Looking for a Android Developer (Kotlin) to lead cross-platform app initiatives. You will develop modern interactive UI layouts with App Store / Play Store Deployment, REST APIs, Git, Kotlin and manage local caching with Fastlane. Must have strong hands-on proficiency in App Store / Play Store Deployment, REST APIs, Git, Kotlin, GraphQL, Firebase, Push Notifications, Flutter, Mobile UI/UX Design. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0080,Threat Intelligence Analyst,Pulse Software Studio,Cybersecurity & Information Security,"Dubai, UAE",Entry Level (0-1 yrs),"Cloud Security Auditing, Splunk, Malware Analysis, Ethical Hacking, Wireshark, Network Security, TCP/IP & Firewalls, SIEM Tools, Vulnerability Assessment, Linux","We are hiring a vigilant Threat Intelligence Analyst to monitor security operations, analyze intrusion alerts using Cloud Security Auditing, Splunk, Malware Analysis, Ethical Hacking, and perform vulnerability scans across enterprise systems. Must have strong hands-on proficiency in Cloud Security Auditing, Splunk, Malware Analysis, Ethical Hacking, Wireshark, Network Security, TCP/IP & Firewalls, SIEM Tools, Vulnerability Assessment, Linux. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0081,React Native Developer,CyberGuard Solutions,Mobile Application Development,"Karachi, PK",Associate (1-2 yrs),"Firebase, JavaScript, Push Notifications, State Management (Provider/Bloc/Redux), Swift, REST APIs","Join our mobile engineering team as a React Native Developer. You will design scalable client apps, publish apps to app stores, and implement offline features using Firebase, JavaScript, Push Notifications, State Management (Provider/Bloc/Redux). Must have strong hands-on proficiency in Firebase, JavaScript, Push Notifications, State Management (Provider/Bloc/Redux), Swift, REST APIs. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0082,Machine Learning Engineer,DevTech Innovations,AI & Machine Learning,Hybrid,Mid Level (2-3 yrs),"Scikit-Learn, LangChain, REST APIs, Kubernetes, NumPy, Mathematics & Linear Algebra, Git, MLOps, Vector Databases, PyTorch, Natural Language Processing","We are hiring a Machine Learning Engineer to scale our ML infrastructure. Responsibilities include training vision and language models using Scikit-Learn, LangChain, REST APIs, Kubernetes and continuous MLOps pipelines. Must have strong hands-on proficiency in Scikit-Learn, LangChain, REST APIs, Kubernetes, NumPy, Mathematics & Linear Algebra, Git, MLOps, Vector Databases, PyTorch, Natural Language Processing. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0083,Network Security Associate,DataSphere Analytics,Cybersecurity & Information Security,"London, UK",Associate (1-2 yrs),"Security Compliance (ISO/NIST), Incident Response, Vulnerability Assessment, Python Scripting, Network Security, SIEM Tools, Linux","Join our SecOps team as a Network Security Associate. You will safeguard critical digital assets, investigate security breaches, and write automated detection scripts with Security Compliance (ISO/NIST), Incident Response, Vulnerability Assessment, Python Scripting. Must have strong hands-on proficiency in Security Compliance (ISO/NIST), Incident Response, Vulnerability Assessment, Python Scripting, Network Security, SIEM Tools, Linux. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0084,Data Analyst,Pulse Software Studio,Data Science & Analytics,"Dubai, UAE",Mid Level (2-3 yrs),"Time Series Forecasting, SQL Optimization, Pandas, Matplotlib, SQL, Tableau, Feature Engineering, XGBoost, Airflow, Statistical Modeling, Data Visualization","Looking for a motivated Data Analyst to join our analytics team. Key responsibilities include statistical modeling, data cleaning with Time Series Forecasting, SQL Optimization, Pandas, Matplotlib, and translating data into strategic recommendations. Must have strong hands-on proficiency in Time Series Forecasting, SQL Optimization, Pandas, Matplotlib, SQL, Tableau, Feature Engineering, XGBoost, Airflow, Statistical Modeling, Data Visualization. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0085,NLP Engineer,Starlight Media Labs,AI & Machine Learning,Hybrid,Mid Level (2-3 yrs),"PyTorch, NumPy, Vector Databases, REST APIs, CUDA, Fine-Tuning, Git, Deep Learning, Natural Language Processing","We are hiring a NLP Engineer to scale our ML infrastructure. Responsibilities include training vision and language models using PyTorch, NumPy, Vector Databases, REST APIs and continuous MLOps pipelines. Must have strong hands-on proficiency in PyTorch, NumPy, Vector Databases, REST APIs, CUDA, Fine-Tuning, Git, Deep Learning, Natural Language Processing. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0086,Data Scientist,DevTech Innovations,Data Science & Analytics,"London, UK",Mid Level (2-3 yrs),"Time Series Forecasting, Matplotlib, Python, Tableau, SQL Optimization, Statistical Modeling, Seaborn, Hypothesis Testing","As a Data Scientist, you will design ML pipelines using Time Series Forecasting, Matplotlib, Python, Tableau, optimize database queries, and present findings using Tableau to executive leadership. Must have strong hands-on proficiency in Time Series Forecasting, Matplotlib, Python, Tableau, SQL Optimization, Statistical Modeling, Seaborn, Hypothesis Testing. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0087,Computer Vision Engineer,Pulse Software Studio,AI & Machine Learning,"Lahore, PK",Associate (1-2 yrs),"NumPy, Model Optimization, Docker, Mathematics & Linear Algebra, REST APIs, ONNX, Transformers, TensorFlow","Join our frontier AI team as an Computer Vision Engineer. You will design, train, and deploy state-of-the-art neural networks using NumPy, Model Optimization, Docker, Mathematics & Linear Algebra to solve complex computer perception and NLP tasks. Must have strong hands-on proficiency in NumPy, Model Optimization, Docker, Mathematics & Linear Algebra, REST APIs, ONNX, Transformers, TensorFlow. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0088,Data Scientist,DataSphere Analytics,Data Science & Analytics,"London, UK",Associate (1-2 yrs),"Airflow, Pandas, Data Visualization, Git, NumPy, Seaborn, Statistical Modeling, Matplotlib, SQL Optimization","We are seeking a Data Scientist with strong analytical abilities. You will extract actionable insights from large datasets, build predictive models using Airflow, Pandas, Data Visualization, Git, and build dashboards in Power BI for stakeholders. Must have strong hands-on proficiency in Airflow, Pandas, Data Visualization, Git, NumPy, Seaborn, Statistical Modeling, Matplotlib, SQL Optimization. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0089,SOC Analyst,DevTech Innovations,Cybersecurity & Information Security,"Islamabad, PK",Entry Level (0-1 yrs),"Malware Analysis, Linux, Network Security, Security Compliance (ISO/NIST), Incident Response, Vulnerability Assessment, Cryptography Basics, TCP/IP & Firewalls, Burp Suite, Python Scripting, Wireshark","Join our SecOps team as a SOC Analyst. You will safeguard critical digital assets, investigate security breaches, and write automated detection scripts with Malware Analysis, Linux, Network Security, Security Compliance (ISO/NIST). Must have strong hands-on proficiency in Malware Analysis, Linux, Network Security, Security Compliance (ISO/NIST), Incident Response, Vulnerability Assessment, Cryptography Basics, TCP/IP & Firewalls, Burp Suite, Python Scripting, Wireshark. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0090,Threat Intelligence Analyst,Quantum Digital,Cybersecurity & Information Security,Hybrid,Entry Level (0-1 yrs),"Wireshark, Python Scripting, Ethical Hacking, Malware Analysis, Metasploit, SIEM Tools, Burp Suite, OWASP Top 10","Seeking an energetic Threat Intelligence Analyst to conduct threat hunting and pen-testing. Key responsibilities include identifying software vulnerabilities using Wireshark, Python Scripting, Ethical Hacking, Malware Analysis and Metasploit. Must have strong hands-on proficiency in Wireshark, Python Scripting, Ethical Hacking, Malware Analysis, Metasploit, SIEM Tools, Burp Suite, OWASP Top 10. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0091,Deep Learning Specialist,Starlight Media Labs,AI & Machine Learning,Hybrid,Mid Level (2-3 yrs),"Computer Vision, NumPy, Natural Language Processing, Kubernetes, Mathematics & Linear Algebra, TensorFlow, CUDA, Fine-Tuning, Transformers","Seeking an innovative Deep Learning Specialist to build Generative AI and deep learning workflows. Must have experience with Computer Vision, NumPy, Natural Language Processing, Kubernetes and deploying models via FastAPI. Must have strong hands-on proficiency in Computer Vision, NumPy, Natural Language Processing, Kubernetes, Mathematics & Linear Algebra, TensorFlow, CUDA, Fine-Tuning, Transformers. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0092,Cross-Platform Mobile Engineer,Vanguard Systems,Mobile Application Development,"Karachi, PK",Entry Level (0-1 yrs),"State Management (Provider/Bloc/Redux), Dart, REST APIs, Flutter, Offline Storage (SQLite/Hive), GraphQL, Native Modules, JavaScript, Mobile Architecture, Mobile UI/UX Design","Looking for a Cross-Platform Mobile Engineer to lead cross-platform app initiatives. You will develop modern interactive UI layouts with State Management (Provider/Bloc/Redux), Dart, REST APIs, Flutter and manage local caching with Firebase Cloud Messaging. Must have strong hands-on proficiency in State Management (Provider/Bloc/Redux), Dart, REST APIs, Flutter, Offline Storage (SQLite/Hive), GraphQL, Native Modules, JavaScript, Mobile Architecture, Mobile UI/UX Design. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0093,Platform Engineer,InnoWave Solutions,Cloud Computing & DevOps,"Lahore, PK",Mid Level (2-3 yrs),"Infrastructure as Code, Jenkins, GitHub Actions, Kubernetes, Git, Terraform","We are seeking a Platform Engineer passionate about automation. You will implement CI/CD pipelines, configure cloud services with Infrastructure as Code, Jenkins, GitHub Actions, Kubernetes, and streamline developer workflows. Must have strong hands-on proficiency in Infrastructure as Code, Jenkins, GitHub Actions, Kubernetes, Git, Terraform. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0094,Cross-Platform Mobile Engineer,Vanguard Systems,Mobile Application Development,"London, UK",Mid Level (2-3 yrs),"Firebase, Mobile Architecture, JavaScript, Native Modules, Push Notifications, React Native, Mobile UI/UX Design, Swift, Dart, GraphQL","Looking for a Cross-Platform Mobile Engineer to lead cross-platform app initiatives. You will develop modern interactive UI layouts with Firebase, Mobile Architecture, JavaScript, Native Modules and manage local caching with Hive DB. Must have strong hands-on proficiency in Firebase, Mobile Architecture, JavaScript, Native Modules, Push Notifications, React Native, Mobile UI/UX Design, Swift, Dart, GraphQL. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0095,NLP Engineer,DevTech Innovations,AI & Machine Learning,"Dubai, UAE",Associate (1-2 yrs),"REST APIs, Fine-Tuning, Scikit-Learn, Git, CUDA, LangChain, Natural Language Processing","Join our frontier AI team as an NLP Engineer. You will design, train, and deploy state-of-the-art neural networks using REST APIs, Fine-Tuning, Scikit-Learn, Git to solve complex computer perception and NLP tasks. Must have strong hands-on proficiency in REST APIs, Fine-Tuning, Scikit-Learn, Git, CUDA, LangChain, Natural Language Processing. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0096,iOS Developer (Swift),Synergy Global,Mobile Application Development,Hybrid,Mid Level (2-3 yrs),"Native Modules, Firebase, Flutter, REST APIs, Git","Looking for a iOS Developer (Swift) to lead cross-platform app initiatives. You will develop modern interactive UI layouts with Native Modules, Firebase, Flutter, REST APIs and manage local caching with Firebase Cloud Messaging. Must have strong hands-on proficiency in Native Modules, Firebase, Flutter, REST APIs, Git. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0097,Backend Developer,DataSphere Analytics,Full Stack & Web Development,Remote,Mid Level (2-3 yrs),"Git, Tailwind CSS, React, JavaScript, Next.js, CSS3","We are seeking a talented Backend Developer to build responsive, robust web applications using Git, Tailwind CSS, React, JavaScript. You will design REST APIs and craft smooth user interfaces with modern frameworks. Must have strong hands-on proficiency in Git, Tailwind CSS, React, JavaScript, Next.js, CSS3. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0098,Software Engineer,Quantum Digital,Full Stack & Web Development,"Islamabad, PK",Entry Level (0-1 yrs),"React, WebSockets, MongoDB, GraphQL, Redis, RESTful APIs, Docker, PostgreSQL, CSS3, Git","Looking for a Software Engineer skilled in modern web stacks. You will collaborate with product designers, implement state management using Next.js, and develop backend microservices with React, WebSockets, MongoDB, GraphQL. Must have strong hands-on proficiency in React, WebSockets, MongoDB, GraphQL, Redis, RESTful APIs, Docker, PostgreSQL, CSS3, Git. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0099,Deep Learning Specialist,Orbital HealthTech,AI & Machine Learning,"Lahore, PK",Mid Level (2-3 yrs),"Computer Vision, PyTorch, HuggingFace, NumPy, Deep Learning, REST APIs, Vector Databases, LangChain, TensorFlow, Scikit-Learn","Seeking an innovative Deep Learning Specialist to build Generative AI and deep learning workflows. Must have experience with Computer Vision, PyTorch, HuggingFace, NumPy and deploying models via FastAPI. Must have strong hands-on proficiency in Computer Vision, PyTorch, HuggingFace, NumPy, Deep Learning, REST APIs, Vector Databases, LangChain, TensorFlow, Scikit-Learn. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0100,Flutter Developer,DevTech Innovations,Mobile Application Development,Remote,Mid Level (2-3 yrs),"React Native, Git, Firebase, REST APIs, Swift, Flutter, Mobile Architecture, GraphQL, Mobile UI/UX Design, App Store / Play Store Deployment","Join our mobile engineering team as a Flutter Developer. You will design scalable client apps, publish apps to app stores, and implement offline features using React Native, Git, Firebase, REST APIs. Must have strong hands-on proficiency in React Native, Git, Firebase, REST APIs, Swift, Flutter, Mobile Architecture, GraphQL, Mobile UI/UX Design, App Store / Play Store Deployment. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0101,LLM Applications Engineer,InnoWave Solutions,AI & Machine Learning,"London, UK",Mid Level (2-3 yrs),"MLflow, CUDA, NumPy, Mathematics & Linear Algebra, HuggingFace, LangChain, Transformers, PyTorch","We are hiring a LLM Applications Engineer to scale our ML infrastructure. Responsibilities include training vision and language models using MLflow, CUDA, NumPy, Mathematics & Linear Algebra and continuous MLOps pipelines. Must have strong hands-on proficiency in MLflow, CUDA, NumPy, Mathematics & Linear Algebra, HuggingFace, LangChain, Transformers, PyTorch. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0102,Quantitative Analyst,ByteCraft Technologies,Data Science & Analytics,"Lahore, PK",Entry Level (0-1 yrs),"Python, BigQuery, Statistical Modeling, A/B Testing, Time Series Forecasting, Spark, Git, Exploratory Data Analysis, Power BI","As a Quantitative Analyst, you will design ML pipelines using Python, BigQuery, Statistical Modeling, A/B Testing, optimize database queries, and present findings using Tableau to executive leadership. Must have strong hands-on proficiency in Python, BigQuery, Statistical Modeling, A/B Testing, Time Series Forecasting, Spark, Git, Exploratory Data Analysis, Power BI. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0103,BI Analyst,DevTech Innovations,Data Science & Analytics,"Lahore, PK",Associate (1-2 yrs),"Hypothesis Testing, Tableau, Feature Engineering, Matplotlib, XGBoost, Data Storytelling, Seaborn","As a BI Analyst, you will design ML pipelines using Hypothesis Testing, Tableau, Feature Engineering, Matplotlib, optimize database queries, and present findings using Metabase to executive leadership. Must have strong hands-on proficiency in Hypothesis Testing, Tableau, Feature Engineering, Matplotlib, XGBoost, Data Storytelling, Seaborn. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0104,Junior Data Scientist,Apex FinTech,Data Science & Analytics,"Karachi, PK",Associate (1-2 yrs),"Seaborn, Matplotlib, SQL Optimization, Data Storytelling, Python, Git, Scikit-Learn","We are seeking a Junior Data Scientist with strong analytical abilities. You will extract actionable insights from large datasets, build predictive models using Seaborn, Matplotlib, SQL Optimization, Data Storytelling, and build dashboards in Metabase for stakeholders. Must have strong hands-on proficiency in Seaborn, Matplotlib, SQL Optimization, Data Storytelling, Python, Git, Scikit-Learn. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
